State,County,Year,Total Households ,Average Household Income,Median Household Income,Total Shelter,Mortgage Interest,   Mortgage Interest,   Mortgage Interest,Property Taxes,   Property Taxes,   Property Taxes,Rental Costs,Property Management Fees,Housing For Someone At School,Lodging Away From Home,Electricity,Fuel Oil ,Natural Gas,Septic Tank Cleaning,Trash And Garbage Collection,Water And Sewage,Cellular Phone Service
Alabama,Autauga,2022,"21,948","$76,021","$60,199","$9,749.22","$2,501.76","$2,435.16",$66.60,"$1,551.92","$1,445.19",$106.73,$109.69,$99.91,$48.40,$169.74,"$1,799.45",$31.12,$254.27,$6.61,$199.30,$531.61,"$1,310.46"
Alabama,Baldwin,2022,"94,231","$84,952","$58,644","$10,313.66","$2,554.75","$2,479.48",$75.27,"$1,752.60","$1,611.10",$141.51,$133.36,$117.66,$51.77,$188.50,"$1,850.59",$32.77,$257.41,$7.21,$203.25,$538.04,"$1,312.10"
Alabama,Barbour,2022,"9,485","$53,115","$38,535","$7,660.23","$1,782.69","$1,737.90",$44.79,"$1,100.59","$1,017.37",$83.22,$78.27,$77.36,$28.61,$123.81,"$1,560.99",$24.14,$212.78,$5.98,$178.79,$451.92,"$1,099.28"
Alabama,Bibb,2022,"7,878","$60,331","$50,337","$9,163.69","$2,265.62","$2,204.02",$61.60,"$1,428.14","$1,325.49",$102.65,$104.18,$94.39,$43.88,$155.50,"$1,751.56",$29.78,$240.92,$6.50,$195.68,$510.20,"$1,249.50"
Alabama,Blount,2022,"22,261","$69,606","$55,747","$9,517.74","$2,397.33","$2,332.70",$64.63,"$1,521.40","$1,412.15",$109.25,$114.37,$100.30,$46.65,$165.43,"$1,787.76",$31.18,$249.19,$6.75,$198.24,$526.79,"$1,286.02"
Alabama,Bullock,2022,"3,680","$59,311","$34,239","$8,217.03","$1,949.51","$1,897.14",$52.37,"$1,188.70","$1,103.54",$85.16,$79.50,$81.44,$34.49,$133.50,"$1,629.08",$25.31,$225.08,$6.05,$184.72,$471.77,"$1,165.41"
Alabama,Butler,2022,"8,083","$56,484","$40,984","$7,763.67","$1,768.79","$1,720.29",$48.50,"$1,156.76","$1,066.08",$90.68,$84.59,$82.31,$30.64,$127.14,"$1,582.63",$24.96,$215.56,$6.15,$183.64,$458.48,"$1,108.65"
Alabama,Calhoun,2022,"46,285","$63,191","$48,428","$8,681.45","$2,085.86","$2,028.34",$57.52,"$1,347.17","$1,244.68",$102.49,$100.67,$91.11,$39.53,$146.71,"$1,681.79",$28.46,$228.59,$6.39,$188.41,$489.37,"$1,194.61"
Alabama,Chambers,2022,"14,057","$55,895","$44,032","$8,795.09","$2,086.22","$2,031.25",$54.97,"$1,294.30","$1,200.55",$93.75,$89.65,$85.85,$38.65,$142.13,"$1,678.25",$26.96,$227.06,$6.20,$184.41,$480.40,"$1,192.12"
Alabama,Cherokee,2022,"11,056","$61,878","$47,479","$8,672.60","$2,021.09","$1,963.89",$57.20,"$1,356.91","$1,249.13",$107.78,$104.77,$94.73,$37.90,$146.59,"$1,706.58",$29.21,$231.09,$6.74,$192.29,$490.72,"$1,186.46"
Alabama,Chilton,2022,"17,451","$64,934","$51,122","$9,689.75","$2,452.00","$2,384.56",$67.44,"$1,571.94","$1,457.75",$114.20,$116.73,$103.05,$49.30,$169.06,"$1,812.57",$31.97,$250.08,$6.82,$200.66,$531.66,"$1,305.96"
Alabama,Choctaw,2022,"5,529","$56,142","$40,864","$8,006.61","$1,820.44","$1,771.87",$48.57,"$1,224.89","$1,134.77",$90.12,$86.75,$82.35,$32.70,$130.06,"$1,596.82",$25.50,$215.50,$6.33,$170.98,$457.93,"$1,109.65"
Alabama,Clarke,2022,"9,743","$62,983","$46,413","$9,280.11","$2,251.17","$2,185.70",$65.47,"$1,525.00","$1,410.70",$114.30,$121.32,$106.12,$44.74,$166.25,"$1,763.31",$31.13,$248.70,$7.19,$198.84,$517.52,"$1,250.17"
Alabama,Clay,2022,"5,686","$54,701","$43,319","$8,423.44","$2,026.42","$1,971.14",$55.28,"$1,307.04","$1,203.78",$103.25,$97.08,$88.95,$37.80,$142.90,"$1,677.94",$27.79,$225.53,$6.54,$190.21,$487.43,"$1,187.53"
Alabama,Cleburne,2022,"6,023","$66,372","$54,390","$9,021.36","$2,172.32","$2,112.81",$59.51,"$1,429.95","$1,322.04",$107.91,$110.06,$96.84,$42.21,$155.82,"$1,740.44",$30.32,$239.16,$6.66,$194.08,$505.15,"$1,223.45"
Alabama,Coffee,2022,"21,364","$75,473","$60,914","$9,187.43","$2,275.83","$2,213.36",$62.47,"$1,462.09","$1,352.79",$109.31,$108.48,$97.33,$44.58,$158.63,"$1,744.02",$29.95,$242.43,$6.60,$194.83,$510.71,"$1,252.55"
Alabama,Colbert,2022,"23,892","$62,107","$45,705","$8,655.41","$2,046.05","$1,989.18",$56.87,"$1,366.87","$1,260.17",$106.70,$102.74,$92.04,$38.77,$148.13,"$1,691.10",$28.85,$229.73,$6.65,$191.32,$491.82,"$1,194.37"
Alabama,Conecuh,2022,"5,256","$54,640","$43,680","$7,916.56","$1,786.55","$1,738.24",$48.31,"$1,198.73","$1,102.61",$96.13,$88.39,$86.85,$29.89,$130.75,"$1,602.10",$25.80,$221.10,$6.38,$185.22,$464.95,"$1,118.99"
Alabama,Coosa,2022,"4,594","$58,440","$43,463","$9,210.18","$2,272.37","$2,205.31",$67.06,"$1,518.28","$1,401.55",$116.73,$114.00,$102.19,$45.14,$162.54,"$1,766.50",$31.33,$245.59,$7.14,$198.05,$516.47,"$1,259.28"
Alabama,Covington,2022,"15,591","$60,728","$46,406","$10,563.99","$2,641.60","$2,576.48",$65.11,"$1,638.47","$1,463.56",$174.91,$117.30,$110.79,$41.41,$169.57,"$1,825.93",$32.23,$245.82,$6.98,$192.26,$519.25,"$1,245.23"
Alabama,Crenshaw,2022,"5,634","$60,865","$44,413","$8,721.57","$2,105.02","$2,049.41",$55.61,"$1,296.21","$1,202.53",$93.68,$91.15,$88.41,$38.00,$144.54,"$1,692.81",$27.63,$233.74,$6.31,$190.10,$492.73,"$1,209.30"
Alabama,Cullman,2022,"34,772","$67,374","$53,470","$9,245.09","$2,266.03","$2,204.47",$61.56,"$1,486.53","$1,372.83",$113.70,$113.60,$98.81,$43.30,$161.14,"$1,763.16",$30.97,$239.50,$6.84,$197.19,$515.16,"$1,259.72"
Alabama,Dale,2022,"19,995","$60,552","$47,216","$8,850.25","$2,118.29","$2,062.14",$56.15,"$1,349.68","$1,249.74",$99.94,$99.21,$90.50,$37.72,$149.48,"$1,704.84",$28.55,$232.20,$6.30,$191.25,$495.79,"$1,219.94"
Alabama,Dallas,2022,"15,581","$53,346","$35,714","$8,110.27","$1,936.62","$1,884.01",$52.60,"$1,224.40","$1,133.35",$91.05,$91.04,$85.00,$36.69,$135.40,"$1,623.39",$25.96,$219.27,$6.18,$182.93,$468.34,"$1,147.48"
Alabama,DeKalb,2022,"27,346","$61,257","$46,769","$8,359.82","$1,974.43","$1,923.06",$51.37,"$1,293.14","$1,193.98",$99.15,$93.72,$86.61,$35.91,$136.55,"$1,666.38",$27.32,$222.31,$6.28,$188.61,$480.43,"$1,173.37"
Alabama,Elmore,2022,"30,671","$81,419","$64,219","$9,955.98","$2,548.11","$2,477.82",$70.29,"$1,608.70","$1,497.09",$111.62,$115.68,$105.41,$49.92,$174.69,"$1,824.19",$32.23,$258.73,$6.83,$200.65,$538.06,"$1,323.22"
Alabama,Escambia,2022,"13,957","$56,758","$45,050","$9,616.45","$2,297.27","$2,242.11",$55.17,"$1,414.00","$1,279.62",$134.38,$97.35,$101.39,$34.51,$143.66,"$1,748.60",$30.12,$235.89,$6.59,$182.72,$498.22,"$1,195.67"
Alabama,Etowah,2022,"42,263","$59,518","$41,476","$8,343.69","$1,985.39","$1,931.18",$54.21,"$1,292.10","$1,193.25",$98.85,$97.12,$89.18,$37.61,$140.09,"$1,647.54",$27.39,$219.66,$6.35,$186.50,$475.77,"$1,163.41"
Alabama,Fayette,2022,"7,001","$55,441","$46,432","$8,741.36","$2,046.33","$1,992.20",$54.13,"$1,277.70","$1,182.51",$95.19,$91.41,$86.35,$37.26,$141.40,"$1,676.19",$27.21,$229.15,$6.09,$186.76,$486.71,"$1,209.34"
Alabama,Franklin,2022,"12,219","$60,677","$47,519","$8,450.02","$2,025.83","$1,972.68",$53.15,"$1,308.45","$1,206.52",$101.93,$94.92,$87.14,$37.05,$141.06,"$1,676.79",$27.75,$221.55,$6.42,$189.63,$488.75,"$1,194.28"
Alabama,Geneva,2022,"11,045","$57,774","$45,767","$8,700.16","$2,078.51","$2,021.88",$56.64,"$1,345.46","$1,239.65",$105.81,$100.71,$90.34,$38.68,$146.75,"$1,689.22",$28.25,$230.82,$6.54,$190.55,$491.80,"$1,186.27"
Alabama,Greene,2022,"3,608","$45,565","$31,835","$7,860.44","$1,783.13","$1,736.35",$46.78,"$1,077.51","$1,000.54",$76.97,$77.69,$78.68,$30.64,$122.91,"$1,580.94",$23.91,$214.95,$5.96,$178.76,$455.59,"$1,116.48"
Alabama,Hale,2022,"6,213","$53,120","$43,173","$8,537.35","$2,005.83","$1,953.95",$51.88,"$1,228.93","$1,141.00",$87.93,$84.05,$82.58,$35.16,$135.94,"$1,654.66",$26.43,$225.88,$5.91,$184.12,$477.03,"$1,190.24"
Alabama,Henry,2022,"7,182","$64,206","$52,012","$9,186.25","$2,237.06","$2,174.53",$62.53,"$1,477.88","$1,368.91",$108.96,$114.24,$101.58,$43.60,$162.05,"$1,738.50",$30.19,$245.04,$6.80,$195.40,$510.76,"$1,233.13"
Alabama,Houston,2022,"43,921","$72,977","$52,391","$8,930.90","$2,199.02","$2,139.49",$59.53,"$1,424.82","$1,318.51",$106.31,$105.70,$93.43,$40.86,$153.60,"$1,673.85",$28.20,$233.57,$6.34,$187.29,$486.86,"$1,190.64"
Alabama,Jackson,2022,"21,565","$57,471","$45,354","$9,549.69","$2,383.11","$2,314.14",$68.97,"$1,555.62","$1,440.77",$114.84,$119.20,$101.60,$49.17,$168.86,"$1,796.76",$31.66,$249.32,$6.94,$199.30,$526.89,"$1,289.40"
Alabama,Jefferson,2022,"271,556","$83,491","$55,161","$9,611.30","$2,460.11","$2,393.36",$66.75,"$1,544.91","$1,440.33",$104.58,$112.53,$102.24,$47.24,$167.85,"$1,765.99",$31.04,$251.59,$6.49,$194.14,$520.44,"$1,277.21"
Alabama,Lamar,2022,"6,042","$57,032","$44,698","$8,216.23","$1,877.19","$1,828.33",$48.87,"$1,276.97","$1,180.34",$96.62,$92.42,$84.74,$33.50,$135.67,"$1,633.45",$27.00,$222.73,$6.58,$173.94,$470.90,"$1,142.06"
Alabama,Lauderdale,2022,"39,436","$66,437","$47,753","$8,887.34","$2,056.65","$1,998.88",$57.77,"$1,436.29","$1,327.05",$109.24,$111.43,$99.05,$39.44,$152.09,"$1,697.35",$29.38,$232.35,$6.74,$191.07,$491.56,"$1,195.02"
Alabama,Lawrence,2022,"13,304","$61,289","$49,742","$8,971.66","$2,181.44","$2,122.46",$58.99,"$1,423.76","$1,313.80",$109.96,$107.07,$95.92,$41.88,$154.48,"$1,737.56",$29.86,$234.61,$6.75,$194.89,$506.03,"$1,241.15"
Alabama,Lee,2022,"70,662","$78,839","$56,813","$9,460.59","$2,320.54","$2,261.43",$59.11,"$1,414.32","$1,321.14",$93.18,$94.78,$90.58,$42.65,$151.37,"$1,702.05",$27.51,$237.28,$5.65,$180.73,$489.83,"$1,229.57"
Alabama,Limestone,2022,"36,882","$85,903","$67,097","$10,710.39","$2,864.46","$2,779.86",$84.60,"$1,821.45","$1,696.72",$124.73,$137.78,$113.69,$65.12,$195.69,"$1,924.02",$35.45,$275.23,$7.26,$207.32,$571.92,"$1,406.67"
Alabama,Lowndes,2022,"4,157","$52,783","$35,014","$8,129.24","$1,919.36","$1,867.13",$52.23,"$1,206.10","$1,117.15",$88.95,$82.02,$83.66,$33.49,$134.74,"$1,624.23",$25.80,$223.44,$6.16,$183.32,$469.77,"$1,154.40"
Alabama,Macon,2022,"7,809","$53,016","$36,661","$8,305.67","$1,921.51","$1,869.52",$52.00,"$1,177.65","$1,091.24",$86.41,$82.92,$85.27,$33.48,$133.95,"$1,636.16",$25.91,$226.14,$6.16,$183.91,$469.07,"$1,147.10"
Alabama,Madison,2022,"160,983","$95,793","$70,050","$10,829.00","$2,910.89","$2,822.37",$88.52,"$1,885.56","$1,757.17",$128.39,$145.47,$117.66,$66.94,$202.52,"$1,917.57",$35.97,$278.23,$7.27,$205.70,$571.51,"$1,404.06"
Alabama,Marengo,2022,"8,104","$55,562","$41,053","$7,513.86","$1,750.65","$1,702.68",$47.97,"$1,093.87","$1,012.69",$81.18,$80.38,$80.96,$32.18,$121.67,"$1,554.23",$23.70,$211.51,$6.04,$178.63,$444.96,"$1,086.35"
Alabama,Marion,2022,"12,444","$61,127","$47,186","$8,245.10","$1,916.41","$1,866.80",$49.61,"$1,297.45","$1,195.37",$102.08,$96.31,$86.73,$35.65,$138.09,"$1,648.28",$27.31,$218.81,$6.42,$188.78,$478.76,"$1,156.61"
Alabama,Marshall,2022,"37,676","$68,294","$52,511","$9,364.95","$2,302.11","$2,238.05",$64.06,"$1,508.63","$1,395.57",$113.06,$114.40,$99.47,$46.12,$162.55,"$1,775.22",$31.01,$243.44,$6.76,$196.82,$519.30,"$1,272.58"
Alabama,Mobile,2022,"163,001","$69,851","$52,094","$9,051.35","$2,250.07","$2,190.19",$59.88,"$1,411.41","$1,310.26",$101.15,$101.09,$93.20,$41.17,$154.34,"$1,717.16",$29.17,$238.86,$6.28,$190.37,$502.59,"$1,232.89"
Alabama,Monroe,2022,"8,514","$56,470","$42,585","$9,020.32","$2,166.87","$2,104.49",$62.38,"$1,445.90","$1,337.34",$108.56,$111.08,$102.82,$42.93,$154.73,"$1,730.82",$30.01,$242.63,$6.94,$194.75,$503.99,"$1,223.32"
Alabama,Montgomery,2022,"91,168","$75,488","$53,114","$9,414.84","$2,373.96","$2,309.91",$64.05,"$1,478.29","$1,378.53",$99.76,$102.66,$98.66,$44.45,$164.14,"$1,731.14",$29.54,$246.35,$6.34,$191.84,$509.07,"$1,262.97"
Alabama,Morgan,2022,"48,457","$75,211","$56,514","$10,215.00","$2,631.16","$2,554.13",$77.03,"$1,713.62","$1,592.56",$121.06,$131.12,$110.26,$57.29,$183.90,"$1,863.76",$33.98,$264.07,$7.13,$203.44,$550.66,"$1,349.63"
Alabama,Perry,2022,"3,503","$43,737","$31,326","$6,874.89","$1,537.39","$1,495.48",$41.90,$957.76,$881.12,$76.64,$66.40,$69.68,$26.75,$106.38,"$1,490.46",$21.76,$197.43,$5.77,$171.22,$426.88,"$1,035.28"
Alabama,Pickens,2022,"7,782","$51,530","$40,808","$8,400.53","$1,957.62","$1,906.43",$51.19,"$1,197.43","$1,108.57",$88.86,$83.57,$80.48,$34.07,$133.90,"$1,643.27",$25.93,$222.46,$5.87,$184.26,$475.30,"$1,177.94"
